Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0402_1005Metric",129.650000,-123.215400,180.000000,top
"C2","100n","C_0402_1005Metric",132.744700,-114.655600,-90.000000,top
"C3","100n","C_0402_1005Metric",124.134100,-111.404400,0.000000,top
"C4","100n","C_0402_1005Metric",120.749100,-113.975000,90.000000,top
"C5","10u","C_0603_1608Metric",124.167600,-110.032800,0.000000,top
"C6","10n","C_0402_1005Metric",120.730500,-118.516400,90.000000,top
"C7","1u","C_0603_1608Metric",119.425000,-121.700000,180.000000,top
"C8","1u","C_0603_1608Metric",119.400000,-123.450000,180.000000,top
"C9","100n","C_0603_1608Metric",123.600000,-124.200000,-90.000000,top
"C10","10p","C_0402_1005Metric",118.598700,-116.119000,90.000000,top
"C11","10p","C_0402_1005Metric",118.624100,-118.405000,90.000000,top
"C12","22u","C_0805_2012Metric",135.995900,-119.060800,0.000000,top
"C13","22u","C_0805_2012Metric",141.884400,-124.683600,90.000000,top
"D1","LED","LED_0603_1608Metric",145.542000,-124.812500,-90.000000,top
"FB1","120R","L_0603_1608Metric",121.900000,-122.427900,-90.000000,top
"H1","MountingHole","MountingHole_2.1mm",114.000000,-103.000000,0.000000,top
"H2","MountingHole","MountingHole_2.1mm",149.000000,-103.000000,0.000000,top
"H3","MountingHole","MountingHole_2.1mm",114.000000,-128.000000,0.000000,top
"H4","MountingHole","MountingHole_2.1mm",149.000000,-128.000000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",147.900000,-116.100000,90.000000,top
"J2","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",142.059900,-102.362000,-90.000000,top
"J3","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",128.778000,-102.362000,-90.000000,top
"J4","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",122.330700,-128.778000,90.000000,top
"R1","10k","R_0402_1005Metric",117.100000,-110.200000,90.000000,top
"R2","1k5","R_0402_1005Metric",138.277600,-115.490000,90.000000,top
"R3","1k5","R_0402_1005Metric",146.050000,-122.682000,180.000000,top
"R4","1k5","R_0402_1005Metric",125.275100,-125.568200,0.000000,top
"R5","1k5","R_0402_1005Metric",127.459500,-125.568200,180.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",113.570000,-110.000000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",126.749100,-117.455000,0.000000,top
"U2","AMS1117-3.3","SOT-223-3_TabPin2",136.847400,-124.598000,-90.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",116.045100,-117.178000,-90.000000,top
